"cleaned_hm","predicted_category","age","country","gender","marital"
"At lunch I was able to go to the gym and was able to up the weights on all my lifts. ","exercise","29.0","USA","m","single"
"i had a great run.","exercise","24.0","USA","m","single"
"I had a good workout.","exercise","34","USA","m","single"
"I WENT TO YOGA","exercise","27","IND","m","married"
"I was able to finish my workout and I was glad it was over.","exercise","22","USA","m","single"
"I went on an intense bike ride and got some good exercise","exercise","25.0","USA","m","single"
"I am happy because I just took back a pokemon go gym that was taken from earlier today.","exercise","40.0","USA","f","married"
"I went to the gym and did a lot of weight lifting, I felt tired but great afterwards.","exercise","27","USA","m","single"
"I WENT TO YOGA","exercise","27","IND","f","single"
"having a great workout","exercise","27","USA","m","single"
"Purchased a Bicycle for exercising purpose and keep my body healthy.","exercise","31","IND","m","single"
"I was able to wake up early this morning, which allowed me to clean up my apartment and go to the local gym before work","exercise","31","USA","m","single"
"I was able to go to the gym and work out","exercise","25","USA","m","married"
"I took a pilates class at my gym","exercise","31.0","USA","o","single"
"I rode my bicycle up a difficult hill; though my legs were tired I reached the peak and went back down.","exercise","22.0","USA","m","single"
"the thing that made me happy in the past 24 hours was going to the gym.","exercise","19.0","USA","m","single"
"Being able to work out with my personal trainer and a friend. This motivates me even more to achieve my goal.","exercise","28","PRI","f","single"
"My body's really sore after exercising yesterday - a painful but necessary step towards self-improvement.","exercise","24.0","USA","m","single"
"I had a good workout.","exercise","45.0","USA","m","divorced"
"Today I went on a run for the first time in a while.","exercise","20","USA","m","single"
"I WENT OT YOGA","exercise","27","IND","m","married"
"Finally went to the gym after not going for a week ","exercise","28.0","USA","m","single"
"I ran 4 miles.","exercise","34.0","USA","f","single"
"I woke up early and went for a run and that felt good. ","exercise","33.0","USA","m","single"
"I went for a 5 mile run and it was nice to get outside.","exercise","27.0","USA","m","married"
"I went to a free yoga class at our local library.","exercise","49","USA","f","married"
"I went to the gym for the first time in about a week and it felt good to be back.","exercise","32.0","USA","m","single"
"I went for a run after work.","exercise","31","USA","m","married"
"I got a good workout on the morning.","exercise","43","USA","f","married"
"I exercise in the park","exercise","21.0","VEN","m","single"
"I started a new phase of a new workout program I am doing and had fun lifting some heavy weights.","exercise","31.0","USA","m","divorced"
"I went for a jog.","exercise","28","USA","m","single"
"After work, I got a great workout in at the gym and definitely feel like I'm making progress!","exercise","29","USA","m","single"
"I went for a jog","exercise","25","USA","m","single"
"going to the gym.","exercise","19.0","USA","m","single"
"I went for a run. Also with the new headphones. But the Run was amazing with them.","exercise","29","USA","m","single"
"I went for a 7 miles run","exercise","31","USA","f","single"
"I went to the gym today and I grunted on every rep to show my dominance and a girl smiled at me. ","exercise","23.0","USA","m","single"
"I exercised for 2 hours today.","exercise","26.0","USA","f","single"
"When I was jogging in the park.","exercise","25","IND","m","single"
"I took a long walk to the library and burned some calories.","exercise","55","USA","f","married"
"I exercised for longer than usual and felt really good afterwards","exercise","37","USA","m","married"
"I went to the gym yesterday and had a great workout and felt great afterwards.","exercise","25.0","USA","m","single"
"I went to the gym last night, which always makes me feel better.","exercise","24","USA","m","married"
"I was feeling low yesterday morning, and I really didn't feel like going to the gym.  But I did, as I almost always do, and I was really happy I did.  I sweated out some stress, and I felt one hundred times better afterward.  ","exercise","45","USA","m","married"
"I had a very positive and hard workout","exercise","25.0","USA","m","single"
"I shoveled the driveway before work and got some extra exercise.","exercise","29.0","USA","m","married"
"A girl I really like texted me and asked me for some gym advice","exercise","26","USA","m","single"
"going to the gym.","exercise","19.0","USA","m","single"
"I did a 30 minute yoga flow this morning before work.","exercise","26.0","USA","m","single"
"I went to the gym.","exercise","36.0","USA","m","single"
"I decided to walk instead of take the bus so I could get some exercise.","exercise","25","USA","f","single"
"I went swimming after working out at the gym.","exercise","27","USA","m","single"
"I lifted my heaviest weights that I have ever lifted before during exercise.","exercise","32.0","USA","f","married"
"I went for a run after work and it felt really easy and relaxing. ","exercise","23.0","USA","f","single"
"I WENT TO  YOGA","exercise","27","IND","m","married"
"went to the gym for the first time in a very long time ","exercise","29","USA","m","single"
"I went on a run and enjoyed the scenery.","exercise","21","USA","m","single"
"Purchased a Bicycle for exercising and keep my body healthy.","exercise","31","IND","m","single"
"I had a great workout at the gym. ","exercise","27","USA","m","single"
"Returned to my workout routines","exercise","28.0","VEN","m","single"
"I went to the gym and I felt really in the groove when I was lifting and running today.","exercise","23.0","USA","f","single"
"for the first time in 3 months i was at the gym exercising.","exercise","35","DOM","m","married"
"I met my exercise goal before dinner.","exercise","41","USA","m","divorced"
"Today I wake up early and did a 5k run with friends. I am still the best among them. They really appreciated this fact that I am the fittest. It made me delighted and motivated me.","exercise","30","IND","m","married"
"I made it to the gym yesterday afternoon on my lunch break and had a great workout. ","exercise","47","USA","m","married"
"I was introduced to a few new people yesterday at the gym.","exercise","23","USA","m","single"
"Working out at the gym. My numbers have gone up which makes me extremely happy","exercise","27.0","USA","m","single"
"I went to the gym.  It was always hard to get started.","exercise","66.0","USA","m","divorced"
"I had an amazing workout yesterday and did a ton of cardio, breaking a crazy sweat.","exercise","29","USA","m","single"
"I got up early today and walk-ran a 1.5 mile race.  I was very tired but it was good to get the day started right.","exercise","34","USA","f","single"
"This morning I went to the Crossfit gym and competed in a team workout which was a lot of fun. ","exercise","28","USA","f","single"
"I went for a bike ride.","exercise","33","USA","m","single"
"I got in a great workout at the gym this morning.","exercise","30.0","USA","m","single"
"Running outside down the street for two miles.","exercise","26","USA","m","single"
"I went on an 8 mile run. ","exercise","25","USA","m","single"
"I started exercising! I've been meaning to do that for a while.","exercise","25","USA","f","single"
"I went for a run. ","exercise","26.0","USA","m","single"
"I did 2 beginner piyo workouts (yesterday and today) and feel FANTASTIC! I just started working out again Tuesday and did my 3rd today.","exercise","25.0","USA","f","single"
"I went for a hike in a valley in Hawaii.","exercise","36","USA","m","single"
"Going to the gym always makes me happy. Of course working out and pushing myself isn't always fun an games, but I am genuinely happy when I leave knowing I did my body good and had a great workout. ","exercise","21","USA","f","single"
"Yesterday i attended one day yoga class training program and i learned a lot about yoga and i was very happy that moment to execute my basic yoga.","exercise","35","IND","m","married"
"Going for a run at the gym","exercise","29","USA","m","married"
"I went to the gym this morning to work off those drinks I drank.","exercise","32.0","USA","m","single"
"I went on a run in my neighborhood.","exercise","50.0","USA","f","single"
"Had a great workout at the gym this afternoon.","exercise","28","USA","f","single"
"I spent 20 minutes on the elliptical while listening to high-energy music, generating a lot of sweat and endorphins; I was particularly pleased because initially I felt a bit sore and tired, and didn't know if I would make my 20-minute goal. ","exercise","49","USA","m","married"
"When I was at the gym, I broke my record for a mile run. ","exercise","29","USA","f","married"
"I went for a long bike ride.","exercise","32","USA","m","single"
"I completed a 40 mile road bike ride safely.","exercise","54","USA","f","married"
"After working hard at the gym, I rewarded myself with some junk food.","exercise","31","USA","m","single"
"My wife joined me in the shower this morning after our 5 mile run. ","exercise","39","USA","m","married"
"Entered a 5k run.","exercise","25","USA","m","single"
"I went to the gym and benched more than I thought I could. ","exercise","21","USA","m","single"
"My knees felt okay, and I went outside and went for a long run in some great weather. ","exercise","30.0","USA","m","single"
"I felt stronger when I was working out.","exercise","25","USA","m","single"
"I exercised for a long time.","exercise","32","USA","m","single"
"I kept up with my daily workout routine and ran six miles. ","exercise","27","USA","m","single"
"I went on a run and that always makes me feel good.","exercise","27","USA","m","single"
"I was productive and went to the gym","exercise","20","USA","f","single"
"I had a great workout in the park.","exercise","38","USA","f","single"
"I accomplished a new goal at my gym.","exercise","27","USA","f","single"
"I got a full workout this morning.","exercise","40","USA","m","married"
"I had a really good workout and long relaxing shower afterwards.","exercise","21","USA","f","single"
"I ran for two miles this morning.","exercise","31","USA","m","single"
"I went to the park and ran a mile.","exercise","32.0","USA","f","single"
"Today at the gym, I was able to do a little more than I was able to last week.  I felt like I made some improvements.  I felt good that I made some progress.","exercise","32","USA","m","single"
"Running down the street for two and and a half miles as fast as I could.","exercise","26","USA","m","single"
"I went to the gym to work out.","exercise","32","USA","m","married"
"I managed to make it to the gym after doing a lot of stuff today","exercise","31.0","USA","m","single"
"I went mountain biking for the first time this year. It was a short ride, but it felt good to be back on the bike again!","exercise","30","USA","o","single"
"I worked out and lifted weights this morning and it felt good.","exercise","31","USA","m","single"
"I did three sets of chin-ups today, and felt pretty good. ","exercise","45.0","USA","m","divorced"
"I started running on the treadmill again.","exercise","42","USA","m","single"
"I did a 13-mile run on a beautiful but very challenging trail route.","exercise","36","USA","f","single"
"I joined a new gym","exercise","50","USA","f","married"
"I worked out for an hour.","exercise","25","USA","m","single"
"I was able to go for a 10 mile fun after training for a few months and it felt great.","exercise","31","USA","f","single"
"I completed a 10 mile long run for the first time.","exercise","49","USA","m","single"
"I WENT TO YOGA","exercise","27","IND","m","married"
"I went for a run outside.","exercise","26","USA","f","single"
"I completed a 40 mile ride on my bicycle. ","exercise","41","USA","m","single"
"A personal trainer at the gym today told the head of the trainer department that she wants her body to look like mine at her wedding.","exercise","35","USA","f","married"
"My yoga teacher massaging my face after a particularly difficult yoga class","exercise","21","USA","f","single"
"I was happy when I started the gym.","exercise","38","USA","f","divorced"
"Going to yoga class.","exercise","54","USA","f","married"
"I started going to the gym.","exercise","41","USA","f","divorced"
"I had a really good workout at the gym today.","exercise","23.0","USA","f","single"
"able to go to the gym and rehab my shoulder","exercise","24","USA","m","single"
"I completed a 50 mile bike ride that was physically and mentally taxing.  ","exercise","52.0","USA","f","single"
"I went for a nice run on the boardwalk.","exercise","33","USA","f","divorced"
"I started exercising again","exercise","21.0","VEN","m","single"
"I went to the gym for the first time in a long time.","exercise","22.0","USA","f","married"
"Going back to yoga. I love hot yoga even though it can be brutal while doing it, it just feels so good after and I know it is so beneficial for my body, mind and soul. I also am going back to the gym so maybe this is more about taking care of myself and showing myself the love I deserve.","exercise","28.0","USA","f","single"
"I love play Soccer with my Friends in the Stadium ","exercise","22","USA","m","single"
"I exercise at morning it made me happy.","exercise","24","USA","m","single"
"I WENT TO YOGA","exercise","27","IND","m","married"
"I was happy that was able to complete my gym challenge. ","exercise","34","USA","m","married"
"Getting back into the gym and working out regularly.","exercise","24","USA","m","single"
"I went to the gym.","exercise","41","USA","m","single"
"Completed a one hour yoga session this morning without skipping any of the parts","exercise","30","USA","f","single"
"I ran a good time in my track race. I ran a new personal best in the 800 meters.","exercise","20","USA","m","single"
"I was able to complete a 2 1/2 mile jog at the gym.","exercise","27","USA","f","separated"
"I am taking a running class at college currently. I was suffering from the stomach flu at the time and still recovering, about 2 weeks ago. Even though I was feeling still sick, I forced myself out of my bed and went to my class. I ran 1.5 miles straight without stopping, and felt very great afterwards. For the rest of the day, I was more active and was able to walk/run throughout the day going around campus and ended up doing 10 miles, my personal best so far.","exercise","29","USA","m","single"
"I went to the gym today and lifted some weights. I felt so much better and happier afterwards.","exercise","20","CAN","m","single"
"I took a bike ride.","exercise","25","USA","f","single"
"I went for a run earlier","exercise","25","USA","m","single"
"Doing a class of Yoga last week made me feel happy and good.","exercise","29.0","USA","m","married"
"I had a great workout today.","exercise","22.0","USA","m","single"
"I went to the gym.","exercise","28","USA","m","married"
"Going to my first yoga class in months made me happy.","exercise","38","USA","f","married"
"I went for a jog outside.","exercise","30","USA","m","single"
"I ran 10 miles.","exercise","34.0","USA","f","single"
"Joining the gym! I finally took the time after my military discharge to join back into a gym and get into better shape allowing me to play sports and it is something I look forward to everyday!","exercise","20","USA","m","single"
"I had a really great workout the other day that left me feeling energized and free from stress.","exercise","30","USA","m","single"
"The day I went to Yoga and Meditation for the relief of stress and mind tension.","exercise","28","IND","m","married"
"I went to the gym last night and had a very good workout.","exercise","24","USA","m","married"
"I finally completed 60 push-ups and 80 squat-ups","exercise","24","USA","m","single"
"I was able to run a mile a little faster.","exercise","27","USA","m","married"
"I spent an hour at the gym working out to try to get back into shape.","exercise","27","USA","m","single"
"Two months ago I started a new exercise to lose weight and it felt really good to start. ","exercise","28","USA","m","married"
"Running a mile in the morning.","exercise","20","USA","m","single"
"when i walked 7 miles. that is the longest i have gone for a wlak","exercise","30","USA","m","single"
"The day I returned to the gym after surgery was an AMAZING day! Fitness is a huge part of my life, so being away for months was a horrible experience!","exercise","34","USA","m","single"
"I became happy when I lifted a new personal best at the gym for deadlifts.","exercise","26","USA","m","single"
"An event that made me happy in the past three months was that weight in the gym is increasing. My strength is increasing due to the fact that I am doing more push ups at night. I feel like I am getting stronger. ","exercise","36","USA","m","separated"
"I went to a long yoga class taught by a favorite teacher.","exercise","28","USA","f","married"
"I felt very happy the day I was able to walk 1 mile on my treadmill.","exercise","59.0","USA","f","married"
"Finishing a long yoga session made me really happy last week.","exercise","29.0","USA","m","married"
"I was able to workout and lose 20 pounds","exercise","31","USA","m","single"
"I ran 12 miles.","exercise","34.0","USA","f","single"
"I got a membership at a new gym, which I really love. ","exercise","26","USA","m","single"
"I have been running for exercise the last few months. Today I was able to run an 8 minute mile for the first time.","exercise","31.0","USA","m","single"
"Going for a run near the beach.","exercise","29","USA","m","married"
"I was able to go to the gym and do my normal workout routine after a year off for surgery.","exercise","28.0","USA","m","married"
"Today, I had a good gym session after work.","exercise","31","USA","m","married"
"i was able to workout legs for the first time in a while today.","exercise","26.0","USA","m","single"
"A old man playing cricket.","exercise","29","IND","m","married"
"Exercise has such a profound effect on our happiness and well-being that itas actually been proven to be an effective strategy for overcoming depression. In a study cited in Shawn Achoras book, The Happiness Advantage 1, three groups of patients treated their depression with either medication, exercise, or a combination of the two. The results of this study really surprised me. ","exercise","55","IND","m","married"
"Purchased a Bicycle for exercising and keep my body fit.","exercise","31","IND","m","single"
"I ran the fastest 5k that I have ever run.","exercise","35","USA","f","married"
"I have been exercising more and that has made me happy.","exercise","23.0","USA","f","single"
"I set a new PR at the gym","exercise","25","GBR","f","single"
"Keeping physically fit by running and lifting weights keeps me very happy and active.","exercise","33.0","USA","m","married"
"I started consistently exercising which has made me feel better physically and mentally.","exercise","28.0","USA","m","single"
"I ran a 5 mile race in a good time and finished in the top 5.","exercise","27.0","USA","m","single"
"My run (which was overdue) felt so good yesterday that I ran an extra mile. ","exercise","34","USA","f","single"
"I had a beautiful morning filled with a great workout and prayer session. ","exercise","27","USA","m","single"
"While out for a run, I ran into a girl that showed interest in me.","exercise","24.0","USA","m","single"
"Running 3 miles in less than thirty minutes.  I have been rather out of shape for the last 15 years and since last summer I have been exercising more and getting back in shape.  I have not ran a sub 30 5k since probably around 2000.  Therefore, when I got 3 miles in under 30 minutes that was a great day.","exercise","45.0","USA","m","married"
"I was able to run a 7:30 mile for three miles after not running as frequently as I felt I should have been.","exercise","24","USA","m","single"
"I completed a really difficult workout that I wasn't sure I could even do.","exercise","25.0","USA","f","single"
"We went for a short walk today in the neighborhood.","exercise","38","USA","f","single"
"Went to the gym and worked out.","exercise","20","CAN","m","single"
"I went to the gym and sat in the sauna for 30 minutes.","exercise","27","USA","m","single"
"I have been running regularly for over a year now, and on my run early last week I realized my average mile pace is now between an 8 and 8.30 minute mile. ","exercise","29.0","USA","m","married"
"going to the gym","exercise","27","USA","m","single"
"I exercised at morning","exercise","24","USA","m","single"
"I ate healthily after a tough leg workout.","exercise","28","USA","m","single"
"I was able to workout for the first time in a while and the endorphins made me feel very good. ","exercise","20.0","USA","m","single"
"I ran 10 miles on a cool day and this was the longest I have run since my last injury and I felt amazing on the run. ","exercise","21.0","USA","f","single"
"I WENT THE YOGA.","exercise","28","IND","m","married"
"I started going to the gym 3 weeks ago and I am already seeing the results.","exercise","40","USA","m","divorced"
"I set me best ever record on running 5 miles. ","exercise","20","USA","f","single"
"I had a great run outside on a sunny day.","exercise","43.0","USA","f","married"
"I just went for a long run, that was fulfilling. ","exercise","30.0","USA","m","single"
"Starting to work out at a gym.","exercise","49","USA","f","married"
"I worked out 3 days a week.","exercise","25","USA","m","single"
"I exercised everyday for the past week.","exercise","30.0","USA","m","married"
"I was happy when I went to the gym for the first time in a few months, a couple days ago. ","exercise","25","USA","m","single"
"Just finished exercising at the gym for 1 1/2 hours.  It helps control my weight and reduce my stress.","exercise","69","USA","m","married"
"I started running again and it improved my mood and level of energy after the first run.","exercise","23","USA","f","single"
"After I finished biking around a lake, I was thrilled to have broken my personal best time!","exercise","24.0","USA","m","single"
"I was happy after I went for a run at the gym on the treadmill.","exercise","33.0","USA","m","single"
"I had a good workout after my knee started feeling better.
","exercise","24.0","USA","m","single"
"I defined a better fitness goal.","exercise","24","USA","m","single"
"I climbed a really difficult route that I had been working on at the climbing gym.","exercise","25","USA","f","single"
"I ran 7 miles on Sunday.","exercise","31","USA","f","single"
"Last month when I finally started back up on my workout routine.","exercise","23","USA","m","single"
"Hitting the gym in the morning made me feel much better","exercise","27","USA","f","single"
"I was able to go on a 22 mile bike ride.","exercise","43","USA","f","married"
"I was able to backpack 20 miles in a day after working hard to get in shape. ","exercise","24.0","USA","m","single"
"I recently did a tempo run and ran 16 miles at 6:45 pace and it was not all that difficult but it gave me the confidence for the marathon that I can qualify for Boston. I am really happy that my training has gotten me to this point.","exercise","28.0","USA","m","married"
"Started to exercise n saw changes in body","exercise","33.0","IND","f","married"
"I finally completed 60 push-ups and 80 squat-ups.","exercise","24","USA","m","single"
"I joined a new gym to work out and lose weight.","exercise","26.0","USA","m","single"
"I did cardiovascular exercise which made me feel happy and energized.","exercise","29","USA","m","single"
"I exercised early in the morning a and practice's meditation it made me happy.","exercise","24","USA","m","single"
"I went to Yoga, meditation class and relax my mind.","exercise","26","IND","f","single"
"I felt happy when I joined a new gym in my city.  They have state of the art equipment and an outdoor swimming pool.","exercise","42","USA","m","single"
"Yesterday I went for a run and I was expecting it to go badly but it was actually quite strong and felt great. ","exercise","34","USA","f","single"
"The day I started to love working out was a happy moment for me. I usually loathe doing exercise but I finally found the right fit for me and now I look forward to it. I look forward to my work outs and the improvements in my body.","exercise","29.0","USA","f","married"
"I ran 6 miles along the waterfront.","exercise","34.0","USA","f","single"
"Just this morning after finishing my workout I felt happy because I had managed to wake up early in the morning to exercise twice this week.","exercise","34.0","USA","m","single"
"Yesterday I was able to walk 3 miles with little tiring.","exercise","39","USA","m","married"
"Last week I ran the furthest and fastest I've ever run ","exercise","34.0","USA","f","married"
"Went to exercise for the first time in a while at the gym.","exercise","29","USA","m","single"
"I exercised using a treadmill which I have been neglecting in recent months.","exercise","26.0","USA","m","single"
"I WEND THE YOGA.","exercise","26","IND","f","married"
"I went on a great hike and got a good sweat in.","exercise","25","USA","f","single"
"I got up real early and went and had a great workout. ","exercise","27","USA","m","single"
"i started the gym one more time.","exercise","35","DOM","m","married"
"I did some bike riding.","exercise","32","USA","m","single"
"Getting to work on rehabbing a workout injury.","exercise","33","USA","m","married"
"I had a great workout that got me in a great mood today.","exercise","25","USA","m","single"
"I ran 5 miles.","exercise","31","USA","f","single"
"I had a great workout, better than most, and it felt productive.","exercise","28","USA","m","single"
"I went for a run yesterday and all the pain I was feeling in my legs went away.","exercise","36.0","USA","m","married"
"I went on a 10 mile bike ride, longest ride ever for me!","exercise","30.0","USA","f","single"
"I went to the gym.","exercise","41","USA","m","single"
"An attractive girl smiled at me in the gym. ","exercise","26.0","USA","m","single"
"I raised the weight in all my lifts at the gym.","exercise","30","USA","m","single"
"I took a 5 mile walk after eating and the adrenaline rush was amazing.","exercise","30.0","USA","m","single"
"I reached a designated weight I was trying to get to in the gym","exercise","23.0","USA","m","single"
"I had a great workout!","exercise","65","USA","m","married"
"going to yoga training session  ","exercise","22","USA","m","single"
"Running 7 minute mile which I have tried for 3 months have made me accomplished and thrilled that my body could push the capacity to achieve more than my mind could have","exercise","30","USA","m","single"
"Had a great day sparring with friends at the gym yesterday; excited for the rest of the week!","exercise","28","USA","m","single"
"I finally completed 70 push-ups and 100 squat-ups.","exercise","24","USA","m","single"
"I went to turtles gym and did some cardio workout for more than an hour.","exercise","44","THA","m","married"
"Last week I went to work out and I stayed a extra 20 minutes and ran on the treadmill some more!","exercise","34","USA","m","married"
"Yesterday I ran 6 miles during my lunch. I didn't think I was going to run that much. I intended to run 3 miles but I had so much energy,I just keep going until I got tired.","exercise","28.0","USA","m","married"
"I discovered several places in my city where I can get a really good and fun workout. ","exercise","29","USA","f","married"
"An attractive young woman at the gym's swimming pool approached me and talked with me.  ","exercise","31","USA","m","married"
"I went for an 11 mile run on Sunday and enjoyed the scenery all around me. ","exercise","26","USA","m","single"
"I lifted more weight than I ever have before at the gym.","exercise","25.0","USA","m","single"
"Going to the gym for the first time in months.","exercise","21.0","USA","m","single"
"I had a really good feeling workout at the gym.","exercise","22.0","USA","f","married"
"I went on a long walk of over an hour and felt energized.","exercise","56","USA","f","divorced"
"I started running again after a really bad personal injury.","exercise","31.0","USA","f","single"
"Finding a 20 dollar bill in the parking lot of the gym made me happy. ","exercise","28.0","USA","m","single"
"Riding a bike.","exercise","26","IND","m","single"
"going to the gym","exercise","19","USA","m","single"
"I got to workout without having to worry about working at the same time.","exercise","25","USA","m","single"
"I went for a 5 miles walk on a sunny day","exercise","54.0","USA","f","married"
"I went to the gym and had a great workout, then went tanning afterwards.","exercise","20","CAN","m","single"
"I ran on the treadmill for a week straight.","exercise","42","USA","m","single"
"I completed a 2 mile run in less than 15 minutes.","exercise","34.0","USA","m","married"
"I woke up early in the morning and exercised it made me happy","exercise","24","USA","m","single"
"Last month i went to one day yoga event and i was very happy to know how to do some basic yoga exercise which is very helpful for breathing.","exercise","35","IND","m","married"
"Playing pickup volleyball.","exercise","27.0","USA","m","single"
"Went on a nice long run in the rain today. Felt really energized.","exercise","21","USA","m","single"
"starting walking for exercising","exercise","38.0","USA","m","married"
"I went to the gym consistently for the first time in awhile this past weekend. I always enjoy going to the gym.","exercise","25","USA","m","single"
"I ate something healthy and worked out","exercise","29","USA","f","single"
"I was able to take the baby on a 2 mile walk.","exercise","32","USA","f","single"
"I was able to go to the gym and start working out again. ","exercise","20.0","USA","m","single"
"In the past three months I started going to a local gym and recognized changes in my physique. ","exercise","29.0","USA","m","single"
"I started High Intensity Interval Training and I completed a 30 minute workout. I felt amazing afterwards.","exercise","25.0","USA","m","married"
"Riding a sports bike.","exercise","26","IND","m","single"
"Running 2 miles which is the most I've ever ran consecutively","exercise","28","USA","f","single"
"Something that made me happy was attending a yoga class. ","exercise","23.0","USA","f","single"
"I had a really good workout yesterday.","exercise","22.0","USA","m","single"
"I got in a great day of climbing at the rock gym and finished a new route.","exercise","27","USA","f","single"
"I started eating healthy again and working out more to get in shape!","exercise","24","USA","m","single"
"I started doing yoga on a regular basis.","exercise","28","DNK","f","married"
"I ran a mile under nine minutes for the first time in 10 years","exercise","40","USA","m","single"
"When I walked over 10 miles.","exercise","25","USA","m","single"
"I began a workout routine.","exercise","26.0","USA","m","single"
"I ran the fastest 2 miles that I have in a long time and am getting in better shape.","exercise","29","USA","m","single"
"I am motivated to get back in shape, so I went running for the first time in over a year. I was thrilled that I was able to run a mile without stopping.","exercise","31.0","USA","m","single"
"I went to the gym for the first time in a long time.","exercise","29","USA","m","single"
"I went for a mile run and afterward I felt fantastic.","exercise","32","USA","m","married"
"Exercise has such a profound effect on our happiness and well-being that itas actually been proven to be an effective strategy for overcoming depression. In a study cited in Shawn Achoras book, The Happiness Advantage 1, three groups of patients treated their depression with either medication, exercise, or a combination of the two. The results of this study really surprised me","exercise","23","IND","f","single"
"Had a good workout at the gym","exercise","41.0","USA","f","married"
"A couple weeks ago I joined a kickboxing class, and it feels wonderful to finally find a gym I love and that makes me feel like I want to keep going.","exercise","32.0","USA","f","single"
"I ran a mile on the treadmill at the gym without stopping. ","exercise","26.0","USA","f","single"
"I returned to the gym without pain after injuring my back.","exercise","23.0","USA","m","single"
"I ran 6 miles.","exercise","34.0","USA","f","single"
"having a great workout ","exercise","27","USA","m","single"
"I had a nice run outside","exercise","26","USA","f","single"
"I was happy the day I was able to lift more than my workout partner at the gym.","exercise","31.0","USA","m","married"
"I found my gym bag, which I had lost.","exercise","27.0","USA","m","single"
"I went to the gym 7 days in a row. It was amazing, I never been this active. I am slowly losing weight.","exercise","30.0","USA","m","single"
"I am starting to see muscles pop out showing all my hard work at the gym.","exercise","35.0","USA","f","divorced"
"I got to go to the gym today after not being able to go for the last five days or so.","exercise","23.0","USA","f","single"
"An event that made me happy in the last 3 months was being able to workout longer at the gym.","exercise","30","USA","f","married"
"At the gym I set new personal records on bench press and dead lift that I've been stuck on for the past couple weeks. ","exercise","27.0","USA","m","single"
"I went to the gym and worked out.","exercise","28","USA","m","married"
"New PR in the gym. I finally reached the 225 club on the bench press.","exercise","18.0","USA","m","single"
"I noticed myself getting stronger from my recent exercise routines. ","exercise","29","USA","f","married"
"I was able to complete a full and hard workout after my thumb healed and prevented me from working out. ","exercise","26.0","USA","f","single"
"Me and my husband went to the gym to burn off some calories.","exercise","31","USA","f","married"
"Purchased a Bicycle for exercising and keep my body fit.","exercise","31","IND","m","single"
"Ran an 8 minute mile yesterday.","exercise","33","USA","m","married"
"Back on Sunday, I finished the Broad Street Run, which is a 10-mile race in Philadelphia. ","exercise","26","USA","m","single"
"When I started going to the gym again a month ago. I forgot how good you feel after a workout, and now i maintain a regular workout schedule.","exercise","26","SRB","m","single"
"The weather forecast is solid for my ten mile run this afternoon, so I am happy and looking forward to exercising.","exercise","30","USA","m","single"
"At the gym I squatted 405 for the first time, something that I have been working very hard to achieve.","exercise","27.0","USA","m","single"
"I learned a new habit and I am doing regular exercise for the past 2 months and doing yoga and that changes makes me happy.","exercise","32","IND","m","married"
"I started a new morning routine where I walk around the neighborhood park for at least two miles.","exercise","30","USA","f","single"
"I have started doing yoga and getting my body into shape","exercise","25.0","USA","f","single"
"went to the gym","exercise","38.0","USA","m","married"
"Finishing my crossfit workout yesterday ","exercise","24","USA","m","single"
"We went for a nice six mile bike ride yesterday night.","exercise","30.0","USA","m","married"
"I walked 6 miles","exercise","31","USA","m","single"
"I ran for 24 minutes yesterday at the gym, my longest run since I began running a few weeks ago.","exercise","36","USA","m","married"
"I hit my exercise goal for the week from a 5 mile run.","exercise","30.0","USA","m","single"
"I went to the gym this morning and did the best I've ever done exercising for 1 hour non-stop.","exercise","69","USA","m","married"
"Being able to workout yesterday and today","exercise","55.0","USA","m","divorced"
"I walked almost a mile yesterday. I had wanted to increase my exercise for a while and yesterday was the furthest I had gone.","exercise","36","USA","f","single"
"I went to the gym and worked out my shoulders and arms. It had been a good week since I focused on shoulders and it felt great.","exercise","27","USA","m","single"
"went for the long bike ride to himalaya","exercise","23.0","IND","m","single"
"I had a great workout yesterday morning before work and I feel ready for my 12-14 mile run next weekend.","exercise","30.0","USA","m","married"
"I went to the gym and managed to run 36 minutes straight! I am on the way to losing weight!","exercise","34","USA","m","single"
"Running a mile in under 8 minutes for the first time","exercise","27","USA","f","single"
"I ran a personal best in a 5K race.","exercise","29","USA","m","single"
"Have exercised 3 days in a row; feeling fit!","exercise","38","USA","f","single"
"I found a nickel on the floor at the gym.","exercise","22.0","USA","m","single"
"I finally had some time to exercise yesterday, and it felt really good.","exercise","57.0","USA","f","married"
"I am getting better exercising every day and it's making me feel accomplished.","exercise","23","USA","f","single"
"I completed a workout and managed to push myself further than I had previously.","exercise","27","USA","m","single"
"I went for a jog when the sun was out.","exercise","30","USA","m","single"
"I completed an exercise goal and took a shower after to cool down.","exercise","25.0","USA","m","married"
"I exercised efficiently this morning.","exercise","25","USA","m","single"
"I broke my bench press plateau at the gym and started progressing again.","exercise","23.0","USA","m","single"
"I have been working on my running and was recently able to out run my running partners for the first time.","exercise","36","USA","m","married"
"I went to the gym and had a good workout.","exercise","29","USA","m","single"
"I went to the gym today and got a lot of miles in, and it feels so good to walk and run it out.","exercise","23.0","USA","f","single"
"I went for a long run and felt good afterwards.","exercise","40","USA","m","married"
"I went for a run in the early morning, and when I was running around a park, I came across a cute toad in the grass. ","exercise","31.0","USA","f","single"
